"id","text","category","length","word_count"
"49","I find fluorescent lights overwhelming and they give me headaches","sensory","65","10"
"50","I value deep, meaningful relationships","general","38","5"
"51","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"52","I appreciate clear instructions and expectations","daily_life","48","6"
"53","I can be extremely dedicated to causes I believe in during events","general","65","12"
"54","My attention to detail is often an asset","positive","40","8"
"55","I'm often very thorough in my work","daily_life","34","7"
"56","Loud unexpected sounds make me feel anxious and stressed","sensory","56","9"
"57","I prefer to know what to expect in new situations","general","49","10"
"58","I need strategies to manage anxiety in new situations","emotional","53","9"
"59","I can spend hours researching topics that fascinate me","interests","54","9"
"60","I feel most comfortable when I have a predictable routine","routine","57","10"
"61","I appreciate clear instructions and expectations in meetings","daily_life","60","8"
"62","I appreciate when people are direct and clear in communication","social","62","10"
"63","I notice details that others might miss","general","39","7"
"64","Loud unexpected sounds make me feel anxious and stressed","sensory","56","9"
"65","I have specific ways I like things to be organized","routine","50","10"
"66","I find comfort in familiar places and activities with family","general","60","10"
"67","I bring a unique perspective to problems","general","40","7"
"68","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"69","I benefit from having quiet spaces to calm down","emotional","47","9"
"70","I express emotions differently than neurotypical people","social","55","7"
"71","I love learning detailed information about my interests","interests","55","8"
"72","I value deep, meaningful relationships","general","38","5"
"73","My attention to detail is often an asset","positive","40","8"
"74","I notice details that others might miss","general","39","7"
"75","I like to collect information and facts about my favorite subjects","interests","66","11"
"76","I prefer having advance notice about changes with friends","general","57","9"
"77","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"78","Small talk can be challenging for me","social","36","7"
"79","I can spend hours researching topics that fascinate me","interests","54","9"
"80","Sometimes I need breaks to prevent feeling overwhelmed","emotional","54","8"
"81","I need time to process what people say before responding at work","social","64","12"
"82","I appreciate patience from others when I'm overwhelmed","emotional","54","8"
"83","My focused interests have led to deep expertise","interests","47","8"
"84","I'm very reliable when I understand expectations","general","48","7"
"85","Making eye contact during conversations feels uncomfortable","social","59","7"
"86","The texture of certain fabrics really bothers me, especially wool and rough materials","sensory","85","13"
"87","My focused interests have led to deep expertise with friends","interests","60","10"
"88","I feel most comfortable when I have a predictable routine","routine","57","10"
"89","Learning about my special interests brings me joy","interests","49","8"
"90","The sound of chalk on blackboard is unbearable","sensory","46","8"
"91","I prefer to know what to expect in new situations","general","49","10"
"92","Understanding my triggers helps me manage better","general","48","7"
"93","I prefer to know what to expect in new situations","general","49","10"
"94","I need strategies to manage anxiety in new situations","emotional","53","9"
"95","I find certain coping mechanisms very helpful in school","general","55","9"
"96","I value deep, meaningful relationships in public","general","48","7"
"97","I can be extremely dedicated to causes I believe in at work","daily_life","59","12"
"98","I love the feeling of soft blankets and weighted materials","general","58","10"
"99","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"100","I enjoy sharing knowledge about subjects I'm passionate about with family","interests","73","11"
"101","My focused interests have led to deep expertise at work","interests","55","10"
"102","The texture of certain fabrics really bothers me, especially wool and rough materials","sensory","85","13"
"103","My attention to detail is often an asset with family","positive","52","10"
"104","My interests tend to be very focused and deep","interests","45","9"
"105","I need time to process what people say before responding","social","56","10"
"106","I prefer to know what to expect in new situations in school","general","59","12"
"107","Bright lights in stores can be overwhelming for me at work","sensory","58","11"
"108","Sudden schedule changes can ruin my whole day","routine","45","8"
"109","I can spend hours researching topics that fascinate me","interests","54","9"
"110","Processing emotions takes time and energy for me in public","daily_life","58","10"
"111","Loud unexpected sounds make me feel anxious and stressed","sensory","56","9"
"112","My focused interests have led to deep expertise","interests","47","8"
"113","I need quiet time to recharge after social activities in school","social","63","11"
"114","I appreciate when people are direct and clear in communication in school","social","72","12"
"115","My interests tend to be very focused and deep","interests","45","9"
"116","Changes in plans can cause me significant stress","routine","48","8"
"117","Loud unexpected sounds make me feel anxious and stressed during events","sensory","70","11"
"118","Sudden schedule changes can ruin my whole day","routine","45","8"
"119","I have a few topics that I find endlessly interesting","interests","53","10"
"120","I'm very reliable when I understand expectations","general","48","7"
"121","I enjoy finding patterns and connections in information","general","55","8"
"122","Group conversations are harder to follow than one-on-one","social","56","8"
"123","I prefer consistent lighting and avoid flickering bulbs at home","sensory","63","10"
"124","My focused interests have led to deep expertise with friends","interests","60","10"
"125","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"126","Sometimes I need breaks to prevent feeling overwhelmed in public","emotional","64","10"
"127","I can spend hours researching topics that fascinate me with friends","interests","67","11"
"128","I can be very creative when working on things I enjoy with friends","daily_life","66","13"
"129","I need time to process what people say before responding","social","56","10"
"130","Group conversations are harder to follow than one-on-one","social","56","8"
"131","Processing emotions takes time and energy for me","daily_life","48","8"
"132","I enjoy repetitive tactile sensations like fidget toys","general","54","8"
"133","I notice patterns and details that can be somewhat useful during events","general","71","12"
"134","Social situations require a lot of mental energy","social","48","8"
"135","I value deep, meaningful relationships","general","38","5"
"136","I notice details that others might miss","general","39","7"
"137","The sound of chalk on blackboard is unbearable","sensory","46","8"
"138","I can be very creative when working on things I enjoy","daily_life","53","11"
"139","I bring a unique perspective to problems","general","40","7"
"140","I enjoy repetitive tactile sensations like fidget toys","general","54","8"
"141","I need extra time to process complex information","daily_life","48","8"
"142","I love learning detailed information about my interests","interests","55","8"
"143","Unexpected changes to my routine are difficult to handle during events","routine","70","11"
"144","I express emotions differently than neurotypical people","social","55","7"
"145","I have a few topics that I find endlessly interesting","interests","53","10"
"146","My interests tend to be very focused and deep","interests","45","9"
"147","I prefer consistency in my work and living environment","daily_life","54","9"
"148","Understanding my triggers helps me manage better in school","general","58","9"
"149","I appreciate clear instructions and expectations","daily_life","48","6"
"150","I love learning detailed information about my interests","interests","55","8"
"151","I can spend hours researching topics that fascinate me at home","interests","62","11"
"152","I work best in quiet, organized environments in public","routine","54","9"
"153","Social situations require a lot of mental energy","social","48","8"
"154","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
"155","I appreciate when people are direct and clear in communication","social","62","10"
"156","My focused interests have led to deep expertise in meetings","interests","59","10"
"157","I need quiet time to recharge after social activities","social","53","9"
"158","Certain food textures are difficult for me to handle","sensory","52","9"
"159","I find certain coping mechanisms very helpful at home","general","53","9"
"160","Self-advocacy is important for my wellbeing","general","43","6"
"161","Group conversations are harder to follow than one-on-one","social","56","8"
"162","Social situations require a lot of mental energy","social","48","8"
"163","Learning about my special interests brings me joy","interests","49","8"
"164","I can be extremely dedicated to causes I believe in","general","51","10"
"165","I notice patterns and details that can be really useful at work","daily_life","63","12"
"166","Bright lights in stores can be overwhelming for me","sensory","50","9"
"167","Processing emotions takes time and energy for me in meetings","daily_life","60","10"
"168","I work better with visual aids and written instructions","daily_life","55","9"
"169","Social situations require a lot of mental energy","social","48","8"
"170","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"171","I bring a unique perspective to problems","general","40","7"
"172","I'm very reliable when I understand expectations","general","48","7"
"173","Processing emotions takes time and energy for me","daily_life","48","8"
"174","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
"175","I prefer consistency in my work and living environment","daily_life","54","9"
"176","I love learning detailed information about my interests","interests","55","8"
"177","I feel more comfortable with written communication","general","50","7"
"178","I appreciate honesty and direct communication","general","45","6"
"179","Unexpected changes to my routine are difficult to handle in meetings","routine","68","11"
"180","I'm often somewhat thorough in my work","daily_life","38","7"
"181","I have specific ways I like things to be organized in school","routine","60","12"
"182","I'm really reliable when I understand expectations in meetings","general","62","9"
"183","I value deep, meaningful relationships","general","38","5"
"184","The sound of chalk on blackboard is unbearable","sensory","46","8"
"185","Sudden schedule changes can ruin my whole day","routine","45","8"
"186","I like to plan things well in advance","routine","37","8"
"187","Certain food textures are difficult for me to handle","sensory","52","9"
"188","I appreciate when people are direct and clear in communication in public","social","72","12"
"189","I can be extremely dedicated to causes I believe in","general","51","10"
"190","I have specific ways I like things to be organized","routine","50","10"
"191","Large social gatherings can feel overwhelming","social","45","6"
"192","Large social gatherings can feel overwhelming","social","45","6"
"193","I can talk for hours about topics that interest me","social","50","10"
"194","I value deep, meaningful relationships with family","general","50","7"
"195","I find comfort in familiar places and activities at work","daily_life","56","10"
"196","I have a few topics that I find endlessly interesting","interests","53","10"
"197","My attention to detail is often an asset","positive","40","8"
"198","I find comfort in familiar places and activities","general","48","8"
"199","Processing emotions takes time and energy for me","daily_life","48","8"
"200","I notice details that others might miss in public","general","49","9"
"201","I appreciate honesty and direct communication","general","45","6"
"202","I prefer consistent lighting and avoid flickering bulbs with friends","sensory","68","10"
"203","I process information differently than many people","social","50","7"
"204","I have specific ways I like things to be organized","routine","50","10"
"205","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
"206","I like to organize things in specific ways","routine","42","8"
"207","I find fluorescent lights overwhelming and they give me headaches","sensory","65","10"
"208","Sudden schedule changes can ruin my whole day","routine","45","8"
"209","I need quiet time to recharge after social activities","social","53","9"
"210","I can spend hours researching topics that fascinate me in school","interests","64","11"
"211","I work best in quiet, organized environments","routine","44","7"
"212","Sudden schedule changes can ruin my whole day at home","routine","53","10"
"213","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"214","I like to collect information and facts about my favorite subjects at work","interests","74","13"
"215","I can spend hours researching topics that fascinate me","interests","54","9"
"216","I bring a unique perspective to problems","general","40","7"
"217","I'm very reliable when I understand expectations","general","48","7"
"218","I prefer consistency in my work and living environment","daily_life","54","9"
"219","I like to organize things in specific ways","routine","42","8"
"220","I'm very reliable when I understand expectations","general","48","7"
"221","I can be very creative when working on things I enjoy in meetings","daily_life","65","13"
"222","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
"223","I'm very reliable when I understand expectations","general","48","7"
"224","I sometimes miss social cues that others pick up easily with family","social","67","12"
"225","I love learning detailed information about my interests","interests","55","8"
"226","Small talk can be challenging for me","social","36","7"
"227","Changes in plans can cause me significant stress","routine","48","8"
"228","Understanding my triggers helps me manage better","general","48","7"
"229","I prefer consistency in my work and living environment in meetings","daily_life","66","11"
"230","My focused interests have led to deep expertise","interests","47","8"
"231","Certain food textures are difficult for me to handle","sensory","52","9"
"232","I'm often very thorough in my work at work","daily_life","42","9"
"233","I work best in quiet, organized environments","routine","44","7"
"234","I can talk for hours about topics that interest me in public","social","60","12"
"235","I can be very creative when working on things I enjoy","daily_life","53","11"
"236","Sudden schedule changes can ruin my whole day","routine","45","8"
"237","Making eye contact during conversations feels uncomfortable","social","59","7"
"238","I benefit from having quiet spaces to calm down","emotional","47","9"
"239","I find fluorescent lights overwhelming and they give me headaches","sensory","65","10"
"240","Understanding my triggers helps me manage better","general","48","7"
"241","I can spend hours researching topics that fascinate me","interests","54","9"
"242","I feel most comfortable when I have a predictable routine in school","routine","67","12"
"243","I prefer to know what to expect in new situations","general","49","10"
"244","The sound of chalk on blackboard is unbearable during events","sensory","60","10"
"245","Group conversations are harder to follow than one-on-one","social","56","8"
"246","Making eye contact during conversations feels uncomfortable","social","59","7"
"247","My attention to detail is often an asset in meetings","positive","52","10"
"248","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"249","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"250","I have specific ways I like things to be organized in meetings","routine","62","12"
"251","I notice details that others might miss","general","39","7"
"252","I find multitasking challenging and prefer focusing on one thing at work","daily_life","72","12"
"253","My focused interests have led to deep expertise","interests","47","8"
"254","Large social gatherings can feel overwhelming","social","45","6"
"255","Self-advocacy is important for my wellbeing","general","43","6"
"256","I need extra time to process complex information","daily_life","48","8"
"257","I need time to process what people say before responding","social","56","10"
"258","I like to plan things well in advance","routine","37","8"
"259","I love the feeling of soft blankets and weighted materials","general","58","10"
"260","I feel more comfortable with written communication","general","50","7"
"261","I need quiet time to recharge after social activities","social","53","9"
"262","Social situations require a lot of mental energy","social","48","8"
"263","Unexpected changes to my routine are difficult to handle","routine","56","9"
"264","Sometimes I need breaks to prevent feeling overwhelmed","emotional","54","8"
"265","The sound of chalk on blackboard is unbearable in meetings","sensory","58","10"
"266","I enjoy repetitive tactile sensations like fidget toys","general","54","8"
"267","Unexpected changes to my routine are difficult to handle in public","routine","66","11"
"268","I appreciate patience from others when I'm overwhelmed with friends","emotional","67","10"
"269","I notice patterns and details that can be really useful during events","general","69","12"
"270","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
"271","Learning about my special interests brings me joy","interests","49","8"
"272","My focused interests have led to deep expertise","interests","47","8"
"273","Stress affects me more intensely than it seems to affect others at home","emotional","71","13"
"274","I need quiet time to recharge after social activities with family","social","65","11"
"275","I notice patterns and details that can be really useful","general","55","10"
"276","I bring a unique perspective to problems during events","general","54","9"
"277","I'm very reliable when I understand expectations in school","general","58","9"
"278","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"279","I work better with visual aids and written instructions with family","daily_life","67","11"
"280","I can be very creative when working on things I enjoy","daily_life","53","11"
"281","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
"282","I appreciate clear instructions and expectations","daily_life","48","6"
"283","Small talk can be challenging for me","social","36","7"
"284","Unexpected changes to my routine are difficult to handle","routine","56","9"
"285","The texture of certain fabrics really bothers me, especially wool and rough materials","sensory","85","13"
"286","Bright lights in stores can be overwhelming for me","sensory","50","9"
"287","I prefer having deep conversations about specific topics","social","56","8"
"288","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
"289","I need extra time to process complex information","daily_life","48","8"
"290","Self-advocacy is important for my wellbeing in public","general","53","8"
"291","Bright lights in stores can be overwhelming for me","sensory","50","9"
"292","I have specific ways I like things to be organized in meetings","routine","62","12"
"293","I bring a unique perspective to problems with friends","general","53","9"
"294","Sudden schedule changes can ruin my whole day during events","routine","59","10"
"295","I find multitasking challenging and prefer focusing on one thing during events","general","78","12"
"296","I prefer having advance notice about changes","general","44","7"
"297","Having a structured schedule helps me function better","routine","53","8"
"298","I find fluorescent lights overwhelming and they give me headaches","sensory","65","10"
"299","I find certain coping mechanisms very helpful","general","45","7"
"300","I notice details that others might miss with friends","general","52","9"
"301","I need extra time to process complex information at work","daily_life","56","10"
"302","I prefer to know what to expect in new situations","general","49","10"
"303","The sound of chalk on blackboard is unbearable","sensory","46","8"
"304","I feel more comfortable with written communication","general","50","7"
"305","I need quiet time to recharge after social activities","social","53","9"
"306","I like to collect information and facts about my favorite subjects in school","interests","76","13"
"307","I notice patterns and details that can be very useful","general","53","10"
"308","I appreciate patience from others when I'm overwhelmed in meetings","emotional","66","10"
"309","I need quiet time to recharge after social activities","social","53","9"
"310","I can be somewhat dedicated to causes I believe in in public","general","60","12"
"311","I'm very reliable when I understand expectations","general","48","7"
"312","I appreciate patience from others when I'm overwhelmed with family","emotional","66","10"
"313","The sound of chalk on blackboard is unbearable","sensory","46","8"
"314","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"315","I wear noise-canceling headphones in crowded places","general","51","7"
"316","I appreciate when people are direct and clear in communication","social","62","10"
"317","I find comfort in familiar places and activities","general","48","8"
"318","I find certain coping mechanisms very helpful","general","45","7"
"319","I'm often very thorough in my work in public","daily_life","44","9"
"320","I benefit from having quiet spaces to calm down during events","emotional","61","11"
"321","I have a few topics that I find endlessly interesting","interests","53","10"
"322","My interests tend to be very focused and deep during events","interests","59","11"
"323","Social situations require a lot of mental energy in public","social","58","10"
"324","Understanding my triggers helps me manage better with family","general","60","9"
"325","I notice details that others might miss at work","daily_life","47","9"
"326","I appreciate honesty and direct communication","general","45","6"
"327","I have a few topics that I find endlessly interesting","interests","53","10"
"328","Learning about my special interests brings me joy","interests","49","8"
"329","I enjoy sharing knowledge about subjects I'm passionate about with family","interests","73","11"
"330","I love learning detailed information about my interests","interests","55","8"
"331","I can be very creative when working on things I enjoy","daily_life","53","11"
"332","I like to collect information and facts about my favorite subjects in public","interests","76","13"
"333","Certain food textures are difficult for me to handle","sensory","52","9"
"334","Self-advocacy is important for my wellbeing","general","43","6"
"335","My focused interests have led to deep expertise","interests","47","8"
"336","I appreciate honesty and direct communication","general","45","6"
"337","I find multitasking challenging and prefer focusing on one thing","general","64","10"
"338","I work better with visual aids and written instructions","daily_life","55","9"
"339","I wear noise-canceling headphones in crowded places with family","general","63","9"
"340","Making eye contact during conversations feels uncomfortable","social","59","7"
"341","I'm very reliable when I understand expectations","general","48","7"
"342","I love the feeling of soft blankets and weighted materials","general","58","10"
"343","I process information differently than many people at work","social","58","9"
"344","The sound of chalk on blackboard is unbearable at home","sensory","54","10"
"345","The sound of chalk on blackboard is unbearable","sensory","46","8"
"346","Unexpected changes to my routine are difficult to handle","routine","56","9"
"347","Bright lights in stores can be overwhelming for me","sensory","50","9"
"348","I like to plan things well in advance","routine","37","8"
"349","I find multitasking challenging and prefer focusing on one thing","general","64","10"
"350","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"351","I like to plan things well in advance","routine","37","8"
"352","Certain food textures are difficult for me to handle","sensory","52","9"
"353","I can be very creative when working on things I enjoy","daily_life","53","11"
"354","Sometimes I need breaks to prevent feeling overwhelmed","emotional","54","8"
"355","I enjoy finding patterns and connections in information","general","55","8"
"356","I express emotions differently than neurotypical people during events","social","69","9"
"357","I value deep, meaningful relationships","general","38","5"
"358","I prefer having deep conversations about specific topics","social","56","8"
"359","I appreciate when people are direct and clear in communication","social","62","10"
"360","I need time to process what people say before responding during events","social","70","12"
"361","I have a few topics that I find endlessly interesting in meetings","interests","65","12"
"362","I can be very creative when working on things I enjoy","daily_life","53","11"
"363","I notice details that others might miss during events","general","53","9"
"364","I prefer having advance notice about changes","general","44","7"
"365","I prefer having deep conversations about specific topics with family","social","68","10"
"366","I process information differently than many people","social","50","7"
"367","My focused interests have led to deep expertise","interests","47","8"
"368","I have a few topics that I find endlessly interesting","interests","53","10"
"369","I'm often very thorough in my work","daily_life","34","7"
"370","Large social gatherings can feel overwhelming with friends","social","58","8"
"371","Group conversations are harder to follow than one-on-one","social","56","8"
"372","I notice patterns and details that can be very useful","general","53","10"
"373","I work better with visual aids and written instructions","daily_life","55","9"
"374","I find certain coping mechanisms very helpful","general","45","7"
"375","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"376","I value deep, meaningful relationships","general","38","5"
"377","I appreciate clear instructions and expectations","daily_life","48","6"
"378","Making eye contact during conversations feels uncomfortable at home","social","67","9"
"379","I prefer to know what to expect in new situations at home","general","57","12"
"380","I can spend hours researching topics that fascinate me","interests","54","9"
"381","I like to plan things well in advance","routine","37","8"
"382","Self-advocacy is important for my wellbeing","general","43","6"
"383","Social situations require a lot of mental energy","social","48","8"
"384","I sometimes miss social cues that others pick up easily in school","social","65","12"
"385","I have specific ways I like things to be organized","routine","50","10"
"386","Group conversations are harder to follow than one-on-one in public","social","66","10"
"387","I sometimes miss social cues that others pick up easily","social","55","10"
"388","Stress affects me more intensely than it seems to affect others","emotional","63","11"
"389","I love learning detailed information about my interests","interests","55","8"
"390","Sudden schedule changes can ruin my whole day","routine","45","8"
"391","Making eye contact during conversations feels uncomfortable in public","social","69","9"
"392","I sometimes miss social cues that others pick up easily in school","social","65","12"
"393","Large social gatherings can feel overwhelming","social","45","6"
"394","Unexpected changes to my routine are difficult to handle","routine","56","9"
"395","Learning about my special interests brings me joy","interests","49","8"
"396","Unexpected changes to my routine are difficult to handle during events","routine","70","11"
"397","I love learning detailed information about my interests","interests","55","8"
"398","Loud unexpected sounds make me feel anxious and stressed in public","sensory","66","11"
"399","I work best in quiet, organized environments","routine","44","7"
"400","Processing emotions takes time and energy for me","daily_life","48","8"
"401","I value deep, meaningful relationships during events","general","52","7"
"402","Unexpected changes to my routine are difficult to handle","routine","56","9"
"403","I have a few topics that I find endlessly interesting","interests","53","10"
"404","Group conversations are harder to follow than one-on-one","social","56","8"
"405","I need quiet time to recharge after social activities","social","53","9"
"406","I sometimes miss social cues that others pick up easily","social","55","10"
"407","I find comfort in familiar places and activities","general","48","8"
"408","I find fluorescent lights overwhelming and they give me headaches with family","sensory","77","12"
"409","Learning about my special interests brings me joy in school","interests","59","10"
"410","Having a structured schedule helps me function better","routine","53","8"
"411","Having a structured schedule helps me function better at home","routine","61","10"
"412","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"413","I enjoy repetitive tactile sensations like fidget toys at home","general","62","10"
"414","I feel most comfortable when I have a predictable routine","routine","57","10"
"415","I find comfort in familiar places and activities during events","general","62","10"
"416","I wear noise-canceling headphones in crowded places in meetings","general","63","9"
"417","I notice details that others might miss","general","39","7"
"418","Self-advocacy is important for my wellbeing","general","43","6"
"419","I can be very creative when working on things I enjoy","daily_life","53","11"
"420","I appreciate when people are direct and clear in communication","social","62","10"
"421","My focused interests have led to deep expertise","interests","47","8"
"422","I process information differently than many people at work","social","58","9"
"423","Learning about my special interests brings me joy","interests","49","8"
"424","I have a few topics that I find endlessly interesting","interests","53","10"
"425","I find multitasking challenging and prefer focusing on one thing","general","64","10"
"426","I need time to process what people say before responding","social","56","10"
"427","Unexpected changes to my routine are difficult to handle","routine","56","9"
"428","My attention to detail is often an asset","positive","40","8"
"429","I'm often very thorough in my work in meetings","daily_life","46","9"
"430","I like to collect information and facts about my favorite subjects","interests","66","11"
"431","I process information differently than many people","social","50","7"
"432","I appreciate clear instructions and expectations","daily_life","48","6"
"433","I notice patterns and details that can be extremely useful","general","58","10"
"434","Loud unexpected sounds make me feel anxious and stressed","sensory","56","9"
"435","I can be very creative when working on things I enjoy","daily_life","53","11"
"436","I like to collect information and facts about my favorite subjects","interests","66","11"
"437","I find certain coping mechanisms very helpful","general","45","7"
"438","I'm often very thorough in my work","daily_life","34","7"
"439","I'm often very thorough in my work at home","daily_life","42","9"
"440","I work best in quiet, organized environments","routine","44","7"
"441","I work best in quiet, organized environments","routine","44","7"
"442","Making eye contact during conversations feels uncomfortable","social","59","7"
"443","I notice patterns and details that can be really useful at home","general","63","12"
"444","I appreciate patience from others when I'm overwhelmed","emotional","54","8"
"445","I enjoy finding patterns and connections in information at home","general","63","10"
"446","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"447","I like to collect information and facts about my favorite subjects","interests","66","11"
"448","I bring a unique perspective to problems","general","40","7"
"449","I value deep, meaningful relationships","general","38","5"
"450","Group conversations are harder to follow than one-on-one","social","56","8"
"451","I prefer consistency in my work and living environment","daily_life","54","9"
"452","I notice patterns and details that can be really useful","general","55","10"
"453","I love the feeling of soft blankets and weighted materials in meetings","general","70","12"
"454","My focused interests have led to deep expertise","interests","47","8"
"455","I wear noise-canceling headphones in crowded places","general","51","7"
"456","I prefer having deep conversations about specific topics","social","56","8"
"457","My focused interests have led to deep expertise","interests","47","8"
"458","Changes in plans can cause me significant stress","routine","48","8"
"459","Large social gatherings can feel overwhelming","social","45","6"
"460","I find fluorescent lights overwhelming and they give me headaches with family","sensory","77","12"
"461","I need strategies to manage anxiety in new situations in public","emotional","63","11"
"462","I appreciate patience from others when I'm overwhelmed","emotional","54","8"
"463","I need time to process what people say before responding at work","social","64","12"
"464","Processing emotions takes time and energy for me with family","daily_life","60","10"
"465","I prefer consistency in my work and living environment","daily_life","54","9"
"466","Sudden schedule changes can ruin my whole day","routine","45","8"
"467","I notice details that others might miss in meetings","general","51","9"
"468","I prefer consistency in my work and living environment","daily_life","54","9"
"469","I need time to process what people say before responding","social","56","10"
"470","Changes in plans can cause me significant stress","routine","48","8"
"471","Sometimes I need breaks to prevent feeling overwhelmed","emotional","54","8"
"472","Unexpected changes to my routine are difficult to handle","routine","56","9"
"473","My interests tend to be very focused and deep","interests","45","9"
"474","Certain food textures are difficult for me to handle","sensory","52","9"
"475","Small talk can be challenging for me","social","36","7"
"476","I prefer having deep conversations about specific topics in public","social","66","10"
"477","Large social gatherings can feel overwhelming","social","45","6"
"478","My attention to detail is often an asset","positive","40","8"
"479","I value deep, meaningful relationships","general","38","5"
"480","I express emotions differently than neurotypical people in school","social","65","9"
"481","I prefer consistent lighting and avoid flickering bulbs","sensory","55","8"
"482","My interests tend to be really focused and deep","interests","47","9"
"483","Understanding my triggers helps me manage better","general","48","7"
"484","I need time to process what people say before responding in public","social","66","12"
"485","I enjoy finding patterns and connections in information","general","55","8"
"486","I appreciate honesty and direct communication","general","45","6"
"487","I enjoy repetitive tactile sensations like fidget toys","general","54","8"
"488","Certain food textures are difficult for me to handle","sensory","52","9"
"489","I notice details that others might miss","general","39","7"
"490","I have a few topics that I find endlessly interesting","interests","53","10"
"491","I prefer to know what to expect in new situations","general","49","10"
"492","I appreciate when others show genuine interest in what I enjoy","interests","62","11"
"493","I find fluorescent lights overwhelming and they give me headaches","sensory","65","10"
"494","I process information differently than many people during events","social","64","9"
"495","I enjoy sharing knowledge about subjects I'm passionate about","interests","61","9"
"496","Small talk can be challenging for me in public","social","46","9"
"497","The sound of chalk on blackboard is unbearable","sensory","46","8"
"498","I feel more comfortable with written communication","general","50","7"
"499","Group conversations are harder to follow than one-on-one in meetings","social","68","10"
"500","Large social gatherings can feel overwhelming","social","45","6"
"501","I find comfort in familiar places and activities with family","general","60","10"
"502","The texture of certain fabrics really bothers me, especially wool and rough materials","sensory","85","13"
"503","I can talk for hours about topics that interest me","social","50","10"
"504","I bring a unique perspective to problems in public","general","50","9"
